,failure
1630,0
18030,1
26078,1
19823,0
15788,0
22931,0
15363,0
4014,0
5111,0
1480,0
1675,1
22476,0
17076,1
19829,0
11440,0
24563,0
6285,0
18433,0
3815,0
6674,0
22735,0
17139,1
14323,0
12128,0
2085,0
24101,0
3283,0
12461,0
12126,0
19128,0
14596,0
5338,1
17485,0
13562,0
20042,0
8640,0
2712,0
24516,0
4602,0
6655,0
12277,0
25579,0
13882,0
23412,1
9730,0
1881,0
14327,0
16977,0
15278,0
11942,0
9387,0
23652,0
24128,0
5426,1
12244,0
12503,0
4386,0
24169,0
23183,0
15970,0
1483,0
19919,1
5858,1
519,0
19044,0
23684,1
24894,0
20830,1
15908,1
15537,1
15238,0
26403,0
10085,0
20906,0
735,1
21652,0
10647,0
6704,0
26069,0
19801,1
5727,0
23125,0
6768,0
7761,0
15002,0
25663,0
5668,0
12565,0
15989,1
25722,0
2820,0
23191,1
4663,0
14378,1
26567,0
4502,0
13775,0
15764,0
2118,0
7558,0
19329,0
20744,0
9606,0
11289,0
12727,0
8808,0
16532,0
6330,0
18376,0
26451,0
1021,0
2220,1
9944,0
20993,0
4316,0
12096,0
17241,0
7185,0
17920,0
1886,0
768,1
17250,0
25683,0
1499,0
11650,0
23377,0
19577,1
18082,1
24151,0
94,0
14553,1
25890,0
18544,0
24041,0
22783,0
9219,0
15079,0
20228,0
2690,1
15163,0
2980,0
16520,1
6245,0
8500,0
24730,0
20461,0
22623,0
17474,0
19127,1
2450,0
1163,0
3375,0
13350,1
10077,1
6058,0
217,0
24482,0
4006,0
5993,0
4434,0
9431,0
17366,0
12051,0
10683,0
17601,0
1593,0
12576,0
21579,1
19308,1
17235,0
2391,0
10455,0
25019,0
15775,1
1511,1
18625,0
4449,0
5173,0
15341,0
10196,0
1540,0
5154,0
15156,0
14647,0
3282,1
24000,0
371,1
20522,0
19975,0
17387,0
3684,1
18842,0
22777,0
24132,0
23756,0
15694,1
4661,0
17868,0
22723,0
11803,1
20588,0
12667,0
12434,0
21503,0
22588,0
14333,0
1238,1
16126,0
17586,0
10206,0
12744,0
19140,0
26481,0
19731,1
12671,0
3892,0
6109,0
6389,0
7723,0
783,0
8672,0
18084,0
15569,0
690,0
4050,0
22051,0
18027,1
9155,0
6292,0
8077,0
15187,1
23698,1
25105,0
24477,0
12756,0
4655,0
24864,0
8952,0
23135,0
10070,1
15102,0
565,0
1424,0
15368,0
21292,1
13948,1
